,x,wrev,wirr,Hp,epsr,Ms
0,20.0,0.25630827327236844,4.869857192175,6.951071449395926,0.05,1.5384366995999998
1,50.526315789473685,0.2503919815132788,4.757447648752297,6.861286158102879,0.05,1.5496876530970727
2,81.05263157894737,0.2437186078849444,4.6306535498139425,6.711030109957344,0.05,1.5418637608127175
3,111.57894736842105,0.23796862322383827,4.521403841252927,6.601783590275931,0.05,1.5421260269518782
4,142.10526315789474,0.23179483605408058,4.40410188502753,6.479042062898197,0.05,1.5422327257826545
5,172.63157894736844,0.22496464582980993,4.2743282707663885,6.3136180740032835,0.05,1.5408297643444815
6,203.1578947368421,0.21932330447506604,4.167142785026255,6.1725457760632585,0.05,1.5404584193578947
7,233.68421052631578,0.21273874668414983,4.042036186998846,6.035863992623028,0.05,1.5424387632175438
8,264.2105263157895,0.20380140961120743,3.8722267826129406,5.862072318296724,0.05,1.5478671126186592
9,294.7368421052632,0.1941928510939131,3.689664170784349,5.663840943931106,0.05,1.5499471946015422
10,325.2631578947369,0.18530414592570785,3.5207787725884487,5.478458161929462,0.05,1.5437738960779286
11,355.7894736842105,0.17691959476924435,3.3614723006156426,5.248294415448316,0.05,1.5387585051649568
12,386.3157894736842,0.16796812208069203,3.1913943195331487,5.001150089678928,0.05,1.5372320093569016
13,416.8421052631579,0.1588332709103563,3.0178321472967693,4.772739217247936,0.05,1.5132580539323135
14,447.36842105263156,0.14777752642833472,2.807773002138359,4.513592445260705,0.05,1.4869992502420974
15,477.89473684210526,0.13898318216149239,2.640680461068355,4.271285774711637,0.05,1.460514007425121
16,508.42105263157896,0.1276337212834042,2.4250407043846796,3.9843731765463435,0.05,1.4181108408874106
17,538.9473684210526,0.11707200443947968,2.2243680843501137,3.678022144958626,0.05,1.3579959888162778
18,569.4736842105264,0.10393044538136484,1.974678462245932,3.291948985859057,0.05,1.2905076093862486
19,600.0,0.08624273048649718,1.6386118792434463,2.81683074390521,0.05,1.199046230652928
